MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Hylopetes phayrei,226.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,932073.02,-999.0
Hylopetes platyurus,56.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,542348.19,-999.0
Hylopetes sipora,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,620.62,-999.0
Hylopetes spadiceus,118.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,906961.33,-999.0
Hylopetes winstoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,123.43,-999.0
Hyomys dammermani,932.5,-999.0,-999.0,1.07,-999.0,-999.0,4,-999.0,3.0,1,-999.0,24335.07,-999.0
Hyomys goliath,866.74,-999.0,-999.0,1.0,-999.0,-999.0,4,-999.0,2.0,1,1.0,99063.72,-999.0
Hyosciurus heinrichi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,17668.93,-999.0
Hyosciurus ileile,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,10386.52,-999.0
Hyperacrius fertilis,22.25,-999.0,-999.0,2.5,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,64975.52,-999.0
Hyperacrius wynnei,52.6,-999.0,-999.0,2.5,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,64975.52,-999.0
Hyperoodon ampullatus,3393361.08,365.0,-999.0,1.0,444.0,3580.06,-999,365.0,2.0,3,-999.0,-999.0,-999.0
Hyperoodon planifrons,3000000.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,-999.0,-999.0
Hypogeomys antimena,1175.93,-999.0,-999.0,1.26,-999.0,729.99,-999,-999.0,5.0,1,1.0,4191.4,63.33
Hypsignathus monstrosus,336.97,125.14,-999.0,1.4,-999.0,227.99,-999,-999.0,1.0,1,1.0,6029962.02,-999.0
